zip,lat,lng,city,state_id,population,county_name,timezone
38019,35.56114,-89.6304,Covington,TN,15747,Tipton,America/Chicago
76088,32.84554,-97.90345,Weatherford,TX,15748,Parker,America/Chicago
75233,32.70444,-96.87271,Dallas,TX,15775,Dallas,America/Chicago
63628,37.9392,-90.52466,Bonne Terre,MO,15864,St. Francois,America/Chicago
62035,38.96375,-90.23917,Godfrey,IL,15915,Madison,America/Chicago
71602,34.27463,-92.13302,White Hall,AR,15922,Jefferson,America/Chicago
67460,38.38431,-97.69719,Mcpherson,KS,15933,McPherson,America/Chicago
38063,35.74598,-89.63412,Ripley,TN,15947,Lauderdale,America/Chicago
72830,35.51685,-93.50859,Clarksville,AR,15962,Johnson,America/Chicago
74106,36.19191,-95.98416,Tulsa,OK,15974,Tulsa,America/Chicago
65340,39.09149,-93.18041,Marshall,MO,15977,Saline,America/Chicago
74127,36.17462,-96.04511,Tulsa,OK,15990,Osage,America/Chicago
63775,37.71051,-89.87919,Perryville,MO,15993,Perry,America/Chicago
74401,35.72304,-95.45431,Muskogee,OK,16015,Muskogee,America/Chicago
71753,33.22974,-93.18461,Magnolia,AR,16089,Columbia,America/Chicago
63383,38.80726,-91.19319,Warrenton,MO,16120,Warren,America/Chicago
74146,36.09784,-95.85344,Tulsa,OK,16133,Tulsa,America/Chicago
66067,38.61877,-95.27566,Ottawa,KS,16146,Franklin,America/Chicago
66226,39.03039,-94.8603,Shawnee,KS,16189,Johnson,America/Chicago
75103,32.51201,-95.88363,Canton,TX,16222,Van Zandt,America/Chicago
63074,38.72637,-90.38895,Saint Ann,MO,16237,St. Louis,America/Chicago
62223,38.53491,-90.06027,Belleville,IL,16269,St. Clair,America/Chicago
64060,39.37134,-94.36821,Kearney,MO,16291,Clay,America/Chicago
38139,35.08615,-89.75581,Germantown,TN,16298,Shelby,America/Chicago
74429,35.94872,-95.63065,Coweta,OK,16351,Wagoner,America/Chicago
64870,37.18474,-94.48136,Webb City,MO,16360,Jasper,America/Chicago
73142,35.60937,-97.63895,Oklahoma City,OK,16364,Oklahoma,America/Chicago
73025,35.73199,-97.5727,Edmond,OK,16401,Logan,America/Chicago
72364,35.2126,-90.18573,Marion,AR,16434,Crittenden,America/Chicago
63601,37.8212,-90.5439,Park Hills,MO,16434,St. Francois,America/Chicago
72335,34.99042,-90.75645,Forrest City,AR,16514,St. Francis,America/Chicago
62249,38.75469,-89.66436,Highland,IL,16550,Madison,America/Chicago
62208,38.59641,-90.00528,Fairview Heights,IL,16653,St. Clair,America/Chicago
67002,37.69575,-97.10725,Andover,KS,16753,Butler,America/Chicago
74114,36.12696,-95.94661,Tulsa,OK,16756,Tulsa,America/Chicago
65270,39.41552,-92.39917,Moberly,MO,16762,Randolph,America/Chicago
76103,32.75282,-97.26627,Fort Worth,TX,16769,Tarrant,America/Chicago
38112,35.14791,-89.97661,Memphis,TN,16798,Shelby,America/Chicago
75001,32.96015,-96.83808,Addison,TX,16808,Dallas,America/Chicago
75474,32.91709,-96.10611,Quinlan,TX,16813,Hunt,America/Chicago
75057,33.05012,-96.9772,Lewisville,TX,16836,Denton,America/Chicago
66442,39.09302,-96.78963,Fort Riley,KS,16876,Riley,America/Chicago
72715,36.46505,-94.30545,Bella Vista,AR,16920,Benton,America/Chicago
74354,36.88962,-94.88096,Miami,OK,16972,Ottawa,America/Chicago
64111,39.05707,-94.59393,Kansas City,MO,16974,Jackson,America/Chicago
64110,39.03445,-94.57265,Kansas City,MO,17019,Jackson,America/Chicago
75249,32.6449,-96.96257,Dallas,TX,17043,Dallas,America/Chicago
66503,39.26287,-96.68663,Manhattan,KS,17272,Riley,America/Chicago
66202,39.02392,-94.66909,Mission,KS,17321,Johnson,America/Chicago
67206,37.70363,-97.22461,Wichita,KS,17468,Sedgwick,America/Chicago
65706,37.3224,-92.89421,Marshfield,MO,17479,Webster,America/Chicago
63049,38.47795,-90.52867,High Ridge,MO,17480,Jefferson,America/Chicago
67042,37.84868,-96.79809,El Dorado,KS,17486,Butler,America/Chicago
76118,32.79606,-97.1972,Fort Worth,TX,17486,Tarrant,America/Chicago
75054,32.60036,-97.03409,Grand Prairie,TX,17517,Dallas,America/Chicago
64116,39.14875,-94.57444,Kansas City,MO,17535,Clay,America/Chicago
74361,36.30914,-95.30732,Pryor,OK,17582,Mayes,America/Chicago
64056,39.11114,-94.32008,Independence,MO,17608,Jackson,America/Chicago
64127,39.08912,-94.53837,Kansas City,MO,17645,Jackson,America/Chicago
63050,38.25977,-90.57628,Hillsboro,MO,17681,Jefferson,America/Chicago
63110,38.62538,-90.26645,Saint Louis,MO,17725,St. Louis,America/Chicago
71701,33.57837,-92.81309,Camden,AR,17883,Ouachita,America/Chicago
62298,38.30906,-90.15132,Waterloo,IL,17907,Monroe,America/Chicago
63042,38.78133,-90.37909,Hazelwood,MO,17953,St. Louis,America/Chicago
74145,36.09728,-95.88731,Tulsa,OK,17955,Tulsa,America/Chicago
63131,38.6172,-90.44365,Saint Louis,MO,17993,St. Louis,America/Chicago
67208,37.70449,-97.27928,Wichita,KS,18078,Sedgwick,America/Chicago
75201,32.78826,-96.79953,Dallas,TX,18078,Dallas,America/Chicago
65613,37.63557,-93.39205,Bolivar,MO,18081,Polk,America/Chicago
73139,35.38457,-97.52572,Oklahoma City,OK,18084,Oklahoma,America/Chicago
73114,35.57916,-97.51784,Oklahoma City,OK,18235,Oklahoma,America/Chicago
72405,35.90446,-90.64869,Jonesboro,AR,18238,Craighead,America/Chicago
76266,33.36818,-97.21513,Sanger,TX,18246,Denton,America/Chicago
72058,35.24273,-92.36998,Greenbrier,AR,18250,Faulkner,America/Chicago
76207,33.22174,-97.18505,Denton,TX,18252,Denton,America/Chicago
75134,32.62308,-96.78007,Lancaster,TX,18305,Dallas,America/Chicago
72022,34.60859,-92.49651,Bryant,AR,18350,Saline,America/Chicago
62711,39.76662,-89.73195,Springfield,IL,18351,Sangamon,America/Chicago
63112,38.66,-90.28331,Saint Louis,MO,18353,St. Louis,America/Chicago
76247,33.0965,-97.33154,Justin,TX,18360,Denton,America/Chicago
71909,34.64106,-92.99608,Hot Springs Village,AR,18427,Garland,America/Chicago
63025,38.4896,-90.61666,Eureka,MO,18483,St. Louis,America/Chicago
38108,35.1763,-89.96382,Memphis,TN,18501,Shelby,America/Chicago
76015,32.69204,-97.13341,Arlington,TX,18540,Tarrant,America/Chicago
75670,32.56456,-94.42326,Marshall,TX,18549,Harrison,America/Chicago
66204,38.99282,-94.67741,Overland Park,KS,18557,Johnson,America/Chicago
67211,37.66708,-97.31706,Wichita,KS,18691,Sedgwick,America/Chicago
63104,38.61078,-90.21276,Saint Louis,MO,18701,St. Louis,America/Chicago
63138,38.79904,-90.1822,Saint Louis,MO,18736,St. Louis,America/Chicago
75237,32.66489,-96.87238,Dallas,TX,18744,Dallas,America/Chicago
74129,36.12669,-95.8701,Tulsa,OK,18764,Tulsa,America/Chicago
72801,35.28057,-93.14161,Russellville,AR,18823,Pope,America/Chicago
75215,32.75259,-96.76075,Dallas,TX,18840,Dallas,America/Chicago
63105,38.64427,-90.32812,Saint Louis,MO,18860,St. Louis,America/Chicago
72719,36.36837,-94.29551,Centerton,AR,18896,Benton,America/Chicago
76135,32.83708,-97.46621,Fort Worth,TX,18903,Tarrant,America/Chicago
74601,36.70436,-97.14604,Ponca City,OK,19011,Kay,America/Chicago
75235,32.83219,-96.84798,Dallas,TX,19067,Dallas,America/Chicago
62305,39.92915,-91.34441,Quincy,IL,19077,Adams,America/Chicago
74107,36.10737,-96.04095,Tulsa,OK,19086,Tulsa,America/Chicago
63111,38.55845,-90.24993,Saint Louis,MO,19093,St. Louis,America/Chicago
66203,39.0216,-94.70558,Shawnee,KS,19195,Johnson,America/Chicago
62220,38.47247,-89.98704,Belleville,IL,19391,St. Clair,America/Chicago
63135,38.75012,-90.29934,Saint Louis,MO,19446,St. Louis,America/Chicago
75236,32.6866,-96.93455,Dallas,TX,19522,Dallas,America/Chicago
63034,38.84795,-90.28692,Florissant,MO,19557,St. Louis,America/Chicago
76205,33.19074,-97.12894,Denton,TX,19651,Denton,America/Chicago
63005,38.64306,-90.64982,Chesterfield,MO,19679,St. Louis,America/Chicago
63137,38.74974,-90.21297,Saint Louis,MO,19690,St. Louis,America/Chicago
64130,39.03345,-94.54119,Kansas City,MO,19697,Jackson,America/Chicago
64082,38.86601,-94.4039,Lees Summit,MO,19729,Jackson,America/Chicago
73129,35.43165,-97.48433,Oklahoma City,OK,19730,Oklahoma,America/Chicago
74135,36.09725,-95.92315,Tulsa,OK,19737,Tulsa,America/Chicago
75116,32.66013,-96.91402,Duncanville,TX,19780,Dallas,America/Chicago
75402,33.06724,-96.08576,Greenville,TX,19848,Hunt,America/Chicago
64064,38.98222,-94.34284,Lees Summit,MO,19955,Jackson,America/Chicago
72901,35.3652,-94.4155,Fort Smith,AR,19966,Sebastian,America/Chicago
66046,38.909,-95.21061,Lawrence,KS,19972,Douglas,America/Chicago
75137,32.63421,-96.91224,Duncanville,TX,19998,Dallas,America/Chicago
76120,32.76742,-97.18286,Fort Worth,TX,20031,Tarrant,America/Chicago
72315,35.90093,-89.9029,Blytheville,AR,20100,Mississippi,America/Chicago
75454,33.283,-96.56073,Melissa,TX,20137,Collin,America/Chicago
66209,38.89874,-94.63778,Leawood,KS,20201,Johnson,America/Chicago
66210,38.92372,-94.70483,Overland Park,KS,20303,Johnson,America/Chicago
66047,38.88484,-95.35096,Lawrence,KS,20344,Douglas,America/Chicago
63020,38.10706,-90.5718,De Soto,MO,20357,Jefferson,America/Chicago
73018,35.0484,-97.93839,Chickasha,OK,20393,Grady,America/Chicago
73115,35.44232,-97.44153,Oklahoma City,OK,20407,Oklahoma,America/Chicago
38114,35.09648,-89.98596,Memphis,TN,20440,Shelby,America/Chicago
63084,38.41749,-91.01438,Union,MO,20511,Franklin,America/Chicago
64050,39.11424,-94.40641,Independence,MO,20528,Jackson,America/Chicago
66605,39.01167,-95.63283,Topeka,KS,20592,Shawnee,America/Chicago
67205,37.75012,-97.42317,Wichita,KS,20600,Sedgwick,America/Chicago
74019,36.28326,-95.60684,Claremore,OK,20633,Rogers,America/Chicago
63141,38.65751,-90.45904,Saint Louis,MO,20640,St. Louis,America/Chicago
63108,38.64485,-90.25337,Saint Louis,MO,20692,St. Louis,America/Chicago
76104,32.72848,-97.31819,Fort Worth,TX,20694,Tarrant,America/Chicago
67213,37.66722,-97.36498,Wichita,KS,20702,Sedgwick,America/Chicago
73036,35.50752,-97.95771,El Reno,OK,20777,Canadian,America/Chicago
76111,32.7804,-97.30116,Fort Worth,TX,20823,Tarrant,America/Chicago
73109,35.43279,-97.52452,Oklahoma City,OK,20904,Oklahoma,America/Chicago
